Index,Load (kN),Defor (mm)
1120,24.18,0.9475
1121,24.18,0.9487
1122,24.18,0.9487
1123,24.19,0.95
1124,24.19,0.9512
1125,24.2,0.9525
1126,24.2,0.9525
1127,24.2,0.9537
1128,24.21,0.9537
1129,24.21,0.955
1130,24.21,0.9562
1131,24.22,0.9562
1132,24.22,0.9575
1133,24.23,0.9587
1134,24.23,0.96
1135,24.24,0.96
1136,24.24,0.9613
1137,24.24,0.9625
1138,24.24,0.9625
1139,24.25,0.9638
1140,24.25,0.965
1141,24.26,0.965
1142,24.26,0.9663
1143,24.26,0.9663
1144,24.27,0.9675
1145,24.27,0.9688
1146,24.28,0.9688
1147,24.28,0.97
1148,24.28,0.9712
1149,24.29,0.9725
1150,24.29,0.9725
1151,24.3,0.9737
1152,24.3,0.9737
1153,24.3,0.975
1154,24.31,0.9762
1155,24.31,0.9762
1156,24.31,0.9775
1157,24.32,0.9787
1158,24.32,0.9787
1159,24.32,0.98
1160,24.33,0.9812
1161,24.33,0.9825
1162,24.33,0.9825
1163,24.34,0.9837
1164,24.34,0.9837
1165,24.35,0.985
1166,24.35,0.9862
1167,24.36,0.9862
1168,24.35,0.9875
1169,24.36,0.9887
1170,24.36,0.9887
1171,24.37,0.99
1172,24.37,0.9912
1173,24.37,0.9925
1174,24.38,0.9925
1175,24.38,0.9937
1176,24.39,0.9937
1177,24.39,0.995
1178,24.39,0.9962
1179,24.39,0.9962
1180,24.4,0.9975
1181,24.4,0.9987
1182,24.41,0.9987
1183,24.41,1.0
1184,24.41,1.0013
1185,24.42,1.0025
1186,24.42,1.0025
1187,24.43,1.0037
1188,24.43,1.0037
1189,24.43,1.005
1190,24.43,1.0063
1191,24.44,1.0063
1192,24.45,1.0075
1193,24.45,1.0087
1194,24.45,1.01
1195,24.45,1.01
1196,24.46,1.0113
1197,24.46,1.0125
1198,24.47,1.0125
1199,24.47,1.0137
1200,24.47,1.015
1201,24.47,1.015
1202,24.48,1.0163
1203,24.48,1.0175
1204,24.49,1.0175
1205,24.49,1.0187
1206,24.5,1.02
1207,24.5,1.02
1208,24.5,1.0213
1209,24.51,1.0225
1210,24.51,1.0225
1211,24.51,1.0237
1212,24.52,1.025
1213,24.52,1.025
1214,24.53,1.0263
1215,24.53,1.0275
1216,24.53,1.0275
1217,24.54,1.0287
1218,24.54,1.03
1219,24.54,1.03
1220,24.54,1.0312
1221,24.55,1.0325
1222,24.55,1.0325
1223,24.55,1.0337
1224,24.56,1.035
1225,24.56,1.035
1226,24.56,1.0362
1227,24.57,1.0375
1228,24.57,1.0375
1229,24.58,1.0387
1230,24.58,1.04
1231,24.58,1.04
1232,24.58,1.0412
1233,24.59,1.0425
1234,24.59,1.0425
1235,24.6,1.0437
1236,24.6,1.045
1237,24.6,1.045
1238,24.61,1.0462
1239,24.61,1.0475
1240,24.61,1.0475
1241,24.61,1.0487
1242,24.62,1.05
1243,24.62,1.05
1244,24.62,1.0512
1245,24.63,1.0525
1246,24.63,1.0525
1247,24.64,1.0537
1248,24.64,1.055
1249,24.64,1.0562
1250,24.65,1.0562
1251,24.65,1.0575
1252,24.65,1.0588
1253,24.66,1.0588
1254,24.66,1.06
1255,24.66,1.0612
1256,24.67,1.0612
1257,24.67,1.0625
1258,24.67,1.0638
1259,24.68,1.0638
1260,24.68,1.065
1261,24.68,1.0662
1262,24.69,1.0662
1263,24.69,1.0675
1264,24.69,1.0688
1265,24.7,1.0688
1266,24.7,1.07
1267,24.71,1.0712
1268,24.71,1.0712
