Index,Load (kN),Defor (mm)
733,3.623,0.0464
734,3.625,0.0468
735,3.627,0.0468
736,3.63,0.0468
737,3.631,0.0468
738,3.634,0.0468
739,3.638,0.0468
740,3.64,0.0468
741,3.642,0.0468
742,3.645,0.0468
743,3.647,0.0468
744,3.65,0.0472
745,3.652,0.0468
746,3.654,0.0472
747,3.657,0.0472
748,3.659,0.0472
749,3.662,0.0472
750,3.664,0.0472
751,3.667,0.0472
752,3.669,0.0476
753,3.671,0.0472
754,3.673,0.0472
755,3.675,0.0472
756,3.678,0.0472
757,3.681,0.0472
758,3.683,0.0472
759,3.686,0.0476
760,3.688,0.0472
761,3.691,0.0476
762,3.694,0.0476
763,3.696,0.0476
764,3.699,0.0476
765,3.701,0.0476
766,3.704,0.0476
767,3.706,0.0476
768,3.708,0.0476
769,3.71,0.0476
770,3.713,0.048
771,3.715,0.048
772,3.717,0.048
773,3.72,0.048
774,3.723,0.048
775,3.725,0.048
776,3.727,0.048
777,3.729,0.048
778,3.732,0.048
779,3.734,0.0484
780,3.737,0.0484
781,3.739,0.0484
782,3.741,0.0484
783,3.744,0.0484
784,3.746,0.0484
785,3.749,0.0484
786,3.752,0.0484
787,3.754,0.0484
788,3.756,0.0484
789,3.759,0.0484
790,3.761,0.0484
791,3.764,0.0484
792,3.766,0.0484
793,3.768,0.0484
794,3.771,0.0488
795,3.774,0.0488
796,3.775,0.0488
797,3.778,0.0488
798,3.78,0.0488
799,3.782,0.0488
800,3.784,0.0488
801,3.786,0.0488
802,3.789,0.0488
803,3.792,0.0488
804,3.794,0.0488
805,3.797,0.0488
806,3.799,0.0488
807,3.802,0.0492
808,3.804,0.0492
809,3.806,0.0492
810,3.808,0.0492
811,3.811,0.0492
812,3.813,0.0492
813,3.816,0.0492
814,3.818,0.0492
815,3.82,0.0492
816,3.823,0.0492
817,3.825,0.0492
818,3.828,0.0492
819,3.829,0.0496
820,3.832,0.0496
821,3.834,0.0496
822,3.837,0.0496
823,3.839,0.0496
824,3.842,0.0496
825,3.844,0.0496
826,3.846,0.0496
827,3.848,0.05
828,3.851,0.05
829,3.853,0.05
830,3.855,0.05
831,3.858,0.05
832,3.86,0.05
833,3.863,0.05
834,3.865,0.05
835,3.867,0.05
836,3.869,0.05
837,3.871,0.05
838,3.874,0.05
839,3.876,0.05
840,3.878,0.05
841,3.881,0.05
842,3.883,0.0504
843,3.885,0.05
844,3.888,0.0504
845,3.89,0.0504
846,3.892,0.0504
847,3.894,0.0504
848,3.897,0.0504
849,3.899,0.0504
850,3.902,0.0508
851,3.904,0.0508
852,3.906,0.0504
853,3.908,0.0504
854,3.912,0.0504
855,3.913,0.0508
856,3.915,0.0508
857,3.918,0.0508
858,3.92,0.0508
859,3.922,0.0508
860,3.925,0.0508
861,3.927,0.0508
862,3.93,0.0508
863,3.932,0.0508
864,3.935,0.0508
865,3.938,0.0508
866,3.94,0.0512
867,3.942,0.0512
868,3.944,0.0512
869,3.946,0.0512
870,3.949,0.0512
871,3.951,0.0512
872,3.954,0.0512
873,3.955,0.0512
874,3.958,0.0512
875,3.96,0.0512
876,3.962,0.0512
877,3.964,0.0512
878,3.967,0.0512
879,3.969,0.0516
880,3.971,0.0516
881,3.974,0.0512
882,3.977,0.0512
883,3.978,0.0512
884,3.981,0.0512
885,3.983,0.0516
886,3.986,0.0516
887,3.988,0.0516
888,3.991,0.0516
889,3.993,0.0516
890,3.995,0.0516
891,3.997,0.0516
892,3.999,0.0516
893,4.002,0.052
894,4.005,0.052
895,4.006,0.052
896,4.009,0.052
897,4.011,0.052
898,4.014,0.052
899,4.016,0.052
900,4.018,0.052
901,4.02,0.052
902,4.022,0.052
903,4.024,0.052
904,4.027,0.052
905,4.029,0.052
906,4.031,0.052
907,4.033,0.052
908,4.036,0.0524
909,4.039,0.052
910,4.041,0.0524
911,4.043,0.0524
912,4.045,0.0524
913,4.048,0.0524
914,4.049,0.0524
915,4.052,0.0524
916,4.054,0.0524
917,4.057,0.0524
918,4.06,0.0528
919,4.062,0.0528
920,4.064,0.0528
921,4.066,0.0528
922,4.07,0.0528
923,4.072,0.0528
924,4.074,0.0528
925,4.077,0.0528
926,4.079,0.0528
927,4.082,0.0528
928,4.084,0.0528
929,4.086,0.0528
930,4.087,0.0528
931,4.09,0.0532
932,4.093,0.0532
933,4.095,0.0532
934,4.098,0.0532
935,4.099,0.0528
936,4.102,0.0532
937,4.104,0.0532
938,4.106,0.0532
939,4.108,0.0532
940,4.111,0.0536
941,4.113,0.0532
942,4.116,0.0536
943,4.118,0.0536
944,4.12,0.0536
945,4.122,0.0532
946,4.125,0.0536
947,4.127,0.0536
948,4.13,0.0536
949,4.132,0.0536
950,4.134,0.0536
951,4.136,0.0536
952,4.138,0.0536
953,4.141,0.0536
954,4.142,0.054
955,4.145,0.054
956,4.148,0.054
957,4.15,0.054
958,4.152,0.054
959,4.155,0.0536
960,4.157,0.054
961,4.159,0.054
962,4.162,0.054
963,4.164,0.054
964,4.166,0.054
965,4.168,0.054
966,4.17,0.054
967,4.173,0.054
968,4.175,0.054
969,4.178,0.0544
970,4.18,0.054
971,4.183,0.0544
972,4.185,0.0544
973,4.187,0.0544
974,4.19,0.0544
975,4.192,0.0544
976,4.194,0.0544
977,4.197,0.0544
978,4.199,0.0544
979,4.201,0.0544
980,4.203,0.0544
981,4.205,0.0544
982,4.207,0.0548
983,4.21,0.0548
984,4.212,0.0548
985,4.214,0.0548
986,4.216,0.0548
987,4.219,0.0548
988,4.221,0.0548
989,4.224,0.0548
990,4.226,0.0548
991,4.228,0.0548
992,4.231,0.0548
993,4.233,0.0548
994,4.235,0.0552
995,4.238,0.0552
996,4.24,0.0552
997,4.242,0.0552
998,4.244,0.0548
999,4.247,0.0552
1000,4.249,0.0552
1001,4.251,0.0552
1002,4.254,0.0552
1003,4.255,0.0552
1004,4.258,0.0552
1005,4.26,0.0552
1006,4.263,0.0556
1007,4.265,0.0552
1008,4.267,0.0552
1009,4.269,0.0552
1010,4.272,0.0556
1011,4.275,0.0556
1012,4.278,0.0556
1013,4.28,0.0556
1014,4.282,0.0556
1015,4.284,0.0556
1016,4.287,0.0556
1017,4.289,0.0556
1018,4.291,0.0556
1019,4.294,0.0556
1020,4.296,0.056
1021,4.299,0.056
1022,4.301,0.056
1023,4.303,0.056
1024,4.305,0.056
1025,4.308,0.056
